t,true_position,command
303.25,0.0,0.3195519770038169
303.255,0.0,0.21331643712369908
303.26,0.0,0.03857475878472904
303.265,0.0,-0.14099942107540503
303.27,0.0,-0.1908744720109245
303.275,0.0,-0.06085885879118087
303.28,0.0,0.1354051344746309
303.285,0.0492,0.3181256232890537
303.29,0.0676,0.3605471309044978
303.295,0.0372,0.2278886633164498
303.3,-0.0129,0.16923036842528216
303.305,-0.0439,-0.2904005326697718
303.31,-0.0233,-0.30809884977165963
303.315,0.0264,-0.32078196904681083
303.32,0.0763,0.1075225175317769
303.325,0.1264,0.301514837007848
303.33,0.1549,0.30165362064253737
303.335,0.1338,0.25566377691015213
303.34,0.0837,0.14163709941501884
303.345,0.0336,-0.2562972595198118
303.35,0.0292,-0.21052620397919586
303.355,0.0713,-0.15051745248262127
303.36,0.1212,0.18832906413756031
303.365,0.17,0.4494414427995657
303.37,0.1808,0.5139553759483734
303.375,0.1476,0.20623540615377717
303.38,0.0975,0.2050338159739326
303.385,0.0469,-0.00863758493729154
303.39,0.0451,-0.2415093792613104
303.395,0.095,-0.18872544190510604
303.4,0.1449,0.1877835291344199
303.405,0.1783,0.5541773203988797
303.41,0.1914,0.4732223971138992
303.415,0.1703,0.3903441463942213
303.42,0.1201,0.1560681446454348
303.425,0.07,0.14421304601359825
303.43,0.0674,-0.20166512994912988
303.435,0.1171,0.04523566178620732
303.44,0.1669,0.1069354353425626
303.445,0.2168,0.36642125789114527
303.45,0.2273,0.4606074345762355
303.455,0.1964,0.40088237211945116
303.46,0.1602,0.2760145376423864
303.465,0.1146,-0.01755066110349235
303.47,0.0999,0.08891724085950163
303.475,0.1253,-0.09137743305409028
303.48,0.1752,0.13162172438992634
303.485,0.2252,0.4791613698549297
303.49,0.2595,0.4744853190133577
303.495,0.2397,0.3914957329851282
303.5,0.1895,0.19345620914613812
303.505,0.1418,-0.11036423243942244
303.51,0.1184,-0.2825226295917466
303.515,0.1449,0.1797830471781402
303.52,0.1947,0.19098096541678045
303.525,0.2444,0.5121804471573553
303.53,0.257,0.5376066741114763
303.535,0.2206,0.3386255083560623
303.54,0.1704,0.19537132240213653
303.545,0.1519,0.054457615556255654
303.55,0.164,-0.058615746237212135
303.555,0.1933,-0.25523665969400466
303.56,0.2431,0.2008418860346676
303.565,0.2841,0.4627724749175535
303.57,0.2803,0.7200197297596527
303.575,0.2365,0.21052403578710008
303.58,0.1863,0.26499595639605544
303.585,0.1361,-0.0663535086704151
303.59,0.1281,-0.18175142219900126
303.595,0.1688,-0.08379646713518511
303.6,0.2186,0.20149341834418732
303.605,0.2387,0.487321857716093
303.61,0.241,0.5679397261207858
303.615,0.223,0.6170233957217094
303.62,0.1734,0.16159430075084358
303.625,0.1221,0.12838163167990865
303.63,0.1183,-0.031384144727962957
303.635,0.161,-0.08915969411932305
303.64,0.2108,0.31397587878351474
303.645,0.2638,0.37733899124016446
303.65,0.2662,0.5116125282122873
303.655,0.2195,0.47956940895370176
303.66,0.1743,0.26167931057623023
303.665,0.1237,-0.08820097142089094
303.67,0.1204,-0.23936351831571784
303.675,0.1704,-0.08438381644586372
303.68,0.2203,0.1876807389916752
303.685,0.2701,0.5078087847010988
303.69,0.2919,0.35789975292471393
303.695,0.261,0.28747653878060925
303.7,0.2109,0.21132888406946856
303.705,0.1598,-0.07149547093314836
303.71,0.1452,-0.17229065751447248
303.715,0.1787,-0.19284646934638783
303.72,0.2285,0.20433858268487237
303.725,0.2626,0.42219028403689046
303.73,0.2575,0.5176179335359183
303.735,0.2236,0.31919435665885887
303.74,0.1734,0.16061028553825146
303.745,0.1224,-0.1690679430786694
303.75,0.1187,-0.07838299692770435
303.755,0.1624,-0.10698041386835251
303.76,0.2122,0.20886784766894395
303.765,0.257,0.3816095140431285
303.77,0.248,0.39788634017335345
303.775,0.207,0.34788570265423724
303.78,0.1567,0.0789213829978787
303.785,0.1057,0.03792002502640271
303.79,0.1034,-0.046633440950495084
303.795,0.1505,-0.05811295218250821
303.8,0.2003,0.26599067804076365
303.805,0.2501,0.5493509878468383
303.81,0.2549,0.5546236705252623
303.815,0.2048,0.504795197322453
303.82,0.1545,0.0706164598290522
303.825,0.1031,-0.14616173024300455
303.83,0.1005,-0.18679128334469436
303.835,0.1509,-0.2112878615337796
303.84,0.2001,0.20551233329608984
303.845,0.2511,0.46602937486711343
303.85,0.2575,0.5866872011514621
303.855,0.2073,0.2114933167105678
303.86,0.1571,0.18870090427256608
303.865,0.1066,0.15636795630266076
303.87,0.1035,-0.16671952802977774
303.875,0.1508,0.18937489465861473
303.88,0.2007,0.1876510817555622
303.885,0.2234,0.5612724138101977
303.89,0.2174,0.42722704267231376
303.895,0.1988,0.3466567127119204
303.9,0.165,0.20426449523213958
303.905,0.1498,-0.045018244463835136
303.91,0.1636,-0.043586737655108426
303.915,0.1923,0.13174062403146872
303.92,0.2433,0.053626921788243756
303.925,0.2846,0.5252735764868025
303.93,0.2822,0.47266916083225147
303.935,0.2412,0.4274365310582929
303.94,0.191,0.20568057991893593
303.945,0.1577,0.0637649089446048
303.95,0.129,-0.10620106453188678
303.955,0.1353,-0.05782311891075134
303.96,0.1851,0.19368431132336045
303.965,0.2356,0.21854672373276646
303.97,0.2534,0.38488030747185176
303.975,0.2194,0.34564902635902794
303.98,0.1692,-0.011175488447312268
303.985,0.1189,0.04740662268021302
303.99,0.113,0.024779138346213578
303.995,0.1502,-0.006781857114839501
304.0,0.1898,0.1981433663176127
304.005,0.2406,0.3515629455852675
304.01,0.2454,0.357939229021799
304.015,0.1954,0.3389257391765302
304.02,0.1452,0.2067277834674048
304.025,0.0935,-0.03449255690410942
304.03,0.0947,-0.1364544713224165
304.035,0.1418,-0.12462690715137063
304.04,0.1916,0.20736211655694997
304.045,0.2424,0.42266166244410325
304.05,0.2554,0.6321116661662036
304.055,0.2206,0.43420435218808145
304.06,0.1704,0.21179096291292562
304.065,0.1202,-0.05883856556159399
304.07,0.1166,-0.14232013594851162
304.075,0.161,-0.023081764778942
304.08,0.2109,0.2687395471919512
304.085,0.2612,0.3893884278441024
304.09,0.2736,0.2719238664989725
304.095,0.2353,0.49292767587471237
304.1,0.1859,0.003679102930601655
304.105,0.1357,-0.05987952164799311
304.11,0.132,-0.0841169490283404
304.115,0.1812,-0.052909073127718864
304.12,0.221,0.1928382700651258
304.125,0.2578,0.3040346906170011
304.13,0.2644,0.5560423108068898
304.135,0.2154,0.38334011411375335
304.14,0.1651,0.20701544392461566
304.145,0.1149,-0.04339949504331278
304.15,0.1095,-0.21395246237452642
304.155,0.1522,-0.02199261218930222
304.16,0.202,0.29307031631896896
304.165,0.2523,0.5924887568643176
304.17,0.2686,0.4975938002863451
304.175,0.2305,0.48031706224301224
304.18,0.1803,0.1880958088755
304.185,0.1299,-0.08598562510921813
304.19,0.1251,-0.1576276823255362
304.195,0.1749,0.1276802775443342
304.2,0.2246,0.21652410564033725
304.205,0.2744,0.41027144728598797
304.21,0.2832,0.4981342815908571
304.215,0.2385,0.22039839425290725
304.22,0.1883,0.1895800602213699
304.225,0.1546,-0.09816100814594063
304.23,0.1607,-0.04897390415435554
304.235,0.1971,0.03721759304216776
304.24,0.2469,0.2638045501755344
304.245,0.2626,0.49403663369053724
304.25,0.2448,0.43954571273046183
304.255,0.2082,0.4027162501363009
304.26,0.158,0.08923298410448315
304.265,0.1111,-0.09978095773618652
304.27,0.1158,-0.2858645365812168
304.275,0.1658,-0.02799155259736509
304.28,0.2155,0.260932448795077
304.285,0.2653,0.4166586777367544
304.29,0.2741,0.6664152437475875
304.295,0.2242,0.43631637457993616
304.3,0.174,0.19024761941937834
304.305,0.1235,-0.1597786333706006
304.31,0.1199,0.005885167693951657
304.315,0.1694,0.04870114377379568
304.32,0.2192,0.28815809064392534
304.325,0.2689,0.39148311202426705
304.33,0.2771,0.47520947321323453
304.335,0.2334,0.47565549680854763
304.34,0.1831,0.17489898111605512
304.345,0.134,0.06841605523043495
304.35,0.1374,-0.050532091758704115
304.355,0.1858,-0.029731718775512908
304.36,0.2356,0.33384551669678886
304.365,0.2853,0.508058623160058
304.37,0.293,0.49804905251092396
304.375,0.245,0.2705005286982574
304.38,0.1948,0.19186413611918157
304.385,0.1446,-0.06586463432737864
304.39,0.1405,-0.08567142927283082
304.395,0.1901,0.05826251498026323
304.4,0.2399,0.22436285134343875
304.405,0.269,0.41497363095839285
304.41,0.2537,0.39656665914797584
304.415,0.2169,0.3869885039783956
304.42,0.1667,0.2092645789495433
304.425,0.1228,0.011004442793330037
304.43,0.1303,-0.1764412785851609
304.435,0.1755,-0.02469371915512085
304.44,0.2251,0.3155046581996366
304.445,0.2756,0.31094332202765124
