t,true_position,command
200.025,0.0,0.04999086523182424
200.03,0.0,0.04992208173502376
200.035,0.0,0.049671403847228374
200.04,0.0,0.04906805164192524
200.045,0.0,0.04797047105650083
200.05,0.0,0.046352411413296636
200.055,0.0,0.044347610223182184
200.06,0.0196,0.04221305797403642
200.065,0.0315,0.04022419550260099
200.07,0.0385,0.0385821702954514
200.075,0.0425,0.03738756343510091
200.08,0.0443,0.03665183484254659
200.085,0.0447,0.03632190922829366
200.09,0.0441,0.036346318977367204
200.095,0.043,0.03676163422190611
200.1,0.0415,0.03771080193164573
200.105,0.0401,0.039375153947914986
200.11,0.0389,0.041882649874403044
200.115,0.0379,0.04523572345045457
200.12,0.0372,0.04929311130279606
200.125,0.0369,0.05384001912539234
200.13,0.037,0.058707611895607956
200.135,0.0376,0.06384848204683956
200.14,0.0388,0.06932488845495634
200.145,0.0407,0.07522086216872396
200.15,0.0434,0.08152027700976829
200.155,0.0467,0.0880470879652217
200.16,0.0506,0.09452575584086194
200.165,0.0549,0.10069772039477752
200.17,0.0596,0.10641284102552453
200.175,0.0647,0.11167043938219351
200.18,0.0702,0.11659594056086603
200.185,0.0761,0.12135704562291567
200.19,0.0822,0.12605927977994785
200.195,0.0884,0.13066662243177016
200.2,0.0945,0.13499266079489763
200.205,0.1003,0.13877967649716016
200.21,0.1059,0.14181776463133933
200.215,0.1111,0.1440410036332586
200.22,0.1162,0.14555495143820868
200.225,0.1211,0.1465615704961151
200.23,0.1258,0.14722130133812344
200.235,0.1303,0.14756567157255446
200.24,0.1343,0.14752035830190371
200.245,0.1378,0.14699514408838515
200.25,0.1406,0.14597839147751757
200.255,0.1428,0.1445988158675246
200.26,0.1444,0.14312249225859686
200.265,0.1456,0.1418767332126761
200.27,0.1464,0.14113512106561338
200.275,0.1467,0.14102211964253014
200.28,0.1466,0.14149419801855165
200.285,0.1461,0.14241617372627147
200.29,0.1452,0.14368622657613972
200.295,0.1441,0.14532650876986458
200.3,0.1431,0.14748285936639907
200.305,0.1423,0.15034121107527865
200.31,0.1419,0.15401605946635147
200.315,0.1419,0.1584741372419123
200.32,0.1424,0.16353944156826308
200.325,0.1433,0.16896722055116414
200.33,0.1445,0.1745266968847734
200.335,0.1463,0.18006151350585053
200.34,0.1487,0.1855089718308397
200.345,0.1518,0.18817142831619676
200.35,0.1555,0.18921291097858467
200.355,0.1598,0.19019831926071012
200.36,0.1647,0.191079316935143
200.365,0.1697,0.19180549995389132
200.37,0.175,0.19235099293424382
200.375,0.1797,0.19272876058677474
200.38,0.1833,0.1929837774818058
200.385,0.1859,0.19317132241062476
200.39,0.1878,0.19333225636368925
200.395,0.1892,0.19347884902435206
200.4,0.1904,0.19359944252909764
200.405,0.1912,0.19367722858532593
200.41,0.1919,0.19371024551281757
200.415,0.1924,0.19372081704045743
200.42,0.1927,0.1937502612831659
200.425,0.193,0.19384378704118277
200.43,0.1932,0.19403333229648467
200.435,0.1934,0.19432405116284
200.44,0.1935,0.19469239946439468
200.445,0.1936,0.19510060694404077
200.45,0.1936,0.19551738929956866
200.455,0.1937,0.19593164153885073
200.46,0.1938,0.196353662480146
200.465,0.194,0.19680272724267686
200.47,0.1942,0.1972876829746815
200.475,0.1945,0.19779339609157448
200.48,0.1948,0.19828446976740005
200.485,0.1952,0.1987252001978824
200.49,0.1956,0.1991001978482855
200.495,0.196,0.19942539433937556
200.5,0.1964,0.19974468897997735
200.505,0.1969,0.20010793179388808
200.51,0.1973,0.20054417666255858
200.515,0.1978,0.20105102663524252
200.52,0.1983,0.2016014639204444
200.525,0.1987,0.2021606834596891
200.53,0.199,0.20270744343781322
200.535,0.1994,0.20324834931112185
200.54,0.1998,0.20381386921902717
200.545,0.2002,0.20443912618593527
200.55,0.2006,0.20514287920788776
200.555,0.2011,0.2059157149910126
200.56,0.2017,0.20672071131231104
200.565,0.2022,0.20750638592180753
200.57,0.2027,0.2082297120353162
200.575,0.2033,0.208876283061031
200.58,0.2039,0.2094605462803104
200.585,0.2046,0.21000482453456787
200.59,0.2053,0.21051280129517555
200.595,0.206,0.2109566884285369
200.6,0.2068,0.21128685465128083
200.605,0.2075,0.21145637236719664
200.61,0.2082,0.21144424854510674
200.615,0.2088,0.21126391353152205
200.62,0.2094,0.21095505756860855
200.625,0.2099,0.21056619960428372
200.63,0.2104,0.21013525629284796
200.635,0.2108,0.20967571901466864
200.64,0.211,0.20917703064625248
200.645,0.2112,0.2086201152674919
200.65,0.2111,0.20799759330169373
200.655,0.211,0.2073259394182663
200.66,0.2107,0.20664431557421903
200.665,0.2104,0.20600095602920745
200.67,0.21,0.20543170923497722
200.675,0.2096,0.2049414781815009
200.68,0.2091,0.20450326551344708
200.685,0.2085,0.20407865858122035
200.69,0.2079,0.20364360766544823
200.695,0.2073,0.20320070398537513
200.7,0.2066,0.2027736269673957
200.705,0.2061,0.20239005571075036
200.71,0.2055,0.2020625988998103
200.715,0.205,0.20177729417787513
200.72,0.2046,0.20149637907395546
200.725,0.2041,0.2011759544334175
200.73,0.2036,0.20078819273485776
200.735,0.2032,0.20033295607496948
