t,true_position,command
365.18,0.0,0.050003440231236436
365.185,0.0,0.05001675912587996
365.19,0.0,0.05001918060510742
365.195,0.0,0.04992184429745068
365.2,0.0,0.04957395068329875
365.205,0.0,0.048815392575185974
365.21,0.0,0.0475493792283304
365.215,0.0196,0.04580902746335079
365.22,0.0316,0.043761372584796836
365.225,0.0388,0.041639418547226456
365.23,0.0431,0.039646566003820286
365.235,0.0455,0.03787311329599624
365.24,0.0466,0.036283282130499556
365.245,0.0466,0.03479828586859193
365.25,0.0459,0.03341172961247469
365.255,0.0446,0.03226248354095952
365.26,0.0431,0.031623844984639646
365.265,0.0414,0.031805046610008464
365.27,0.0397,0.03301788658029002
365.275,0.038,0.03528098895092961
365.28,0.0364,0.03841441194137464
365.285,0.035,0.0421378670211881
365.29,0.0337,0.046215435966351526
365.295,0.0329,0.050540803970929644
365.3,0.0327,0.055102787413869994
365.305,0.0333,0.05987667725688264
365.31,0.0347,0.06473370020702696
365.315,0.037,0.06941485039323593
365.32,0.0399,0.07356356143168953
365.325,0.0433,0.0768122008577833
365.33,0.0472,0.07890379756534271
365.335,0.0513,0.07977794620374248
365.34,0.0558,0.07956202920619329
365.345,0.0603,0.07848493868337837
365.35,0.0648,0.07676597934732035
365.355,0.069,0.0745339277495128
365.36,0.0725,0.07182361336025739
365.365,0.0752,0.06864287205700947
365.37,0.077,0.06505843091915615
365.375,0.0778,0.06126028070003134
365.38,0.0777,0.057566837204204115
365.385,0.0768,0.054346411730031546
365.39,0.0754,0.05189159647868305
365.395,0.0733,0.05032954470899065
365.4,0.0707,0.049631116564726456
365.405,0.0677,0.04970101060436899
365.41,0.0643,0.05047031500375133
365.415,0.061,0.051944386013038545
365.42,0.0578,0.05420349362285524
365.425,0.0551,0.05734891391125302
365.43,0.0531,0.061413574998683204
365.435,0.0517,0.06629992060871562
365.44,0.0511,0.0717895891416865
365.445,0.0511,0.077626506642473
365.45,0.0519,0.08362347574383967
365.455,0.0535,0.08971955457587542
365.46,0.0559,0.09596195685825623
365.465,0.0591,0.10243062469877058
365.47,0.0631,0.1091535716517755
365.475,0.0678,0.11605818353153968
365.48,0.073,0.12296165847961361
365.485,0.0785,0.12961482592048773
365.49,0.0843,0.13580694715202912
365.495,0.0903,0.14145462825719035
365.5,0.0965,0.14659339485418266
365.505,0.103,0.1512917683605085
365.51,0.1097,0.1555703268770664
365.515,0.1163,0.15937510743361438
365.52,0.1229,0.16259587917805846
365.525,0.1292,0.1651171716996738
365.53,0.1352,0.16689335496374233
365.535,0.1407,0.1679987904624991
365.54,0.1458,0.16860968134985865
365.545,0.1505,0.16893130329469297
365.55,0.1547,0.16911185479210283
365.555,0.1584,0.16919699464522125
365.56,0.1614,0.16914820774512546
365.565,0.1638,0.16888831693468898
365.57,0.1656,0.16836562365469437
365.575,0.1669,0.16764043802720244
365.58,0.1677,0.16691756289867782
365.585,0.1683,0.16646807732844296
365.59,0.1686,0.16650169454107086
365.595,0.1688,0.16707123773553018
365.6,0.1687,0.16805498273085911
365.605,0.1684,0.16924008028822246
365.61,0.168,0.17045807365309018
365.615,0.1675,0.17167646938081038
365.62,0.1671,0.17299911735361437
365.625,0.167,0.17459041138897194
365.63,0.1672,0.17656732096604794
365.635,0.1678,0.17891856018690783
365.64,0.1686,0.1815037452044293
365.645,0.1696,0.1841362770179627
365.65,0.1707,0.18669855729235296
365.655,0.172,0.18784249072019438
365.66,0.1734,0.18836095079837423
365.665,0.1752,0.18891958996771127
365.67,0.1772,0.1895241673006404
365.675,0.1795,0.1901557876468358
365.68,0.1819,0.19077538592811208
365.685,0.184,0.1913377189267194
365.69,0.1856,0.1918120939066455
365.695,0.1868,0.19220085625846725
365.7,0.1878,0.19254081390976396
365.705,0.1886,0.19288383545945065
365.71,0.1894,0.19327115736950204
365.715,0.19,0.19371652314995147
365.72,0.1907,0.1942036860628871
365.725,0.1912,0.1946977044823273
365.73,0.1917,0.1951678272538273
365.735,0.1921,0.1956114616437768
365.74,0.1925,0.1960584612634764
365.745,0.1929,0.19654914139739604
365.75,0.1933,0.19710450410075503
365.755,0.1938,0.19771212249955256
365.76,0.1942,0.19833695978171142
365.765,0.1947,0.19894446716508404
365.77,0.1952,0.19951678493074423
365.775,0.1956,0.2000576519110296
365.78,0.1961,0.20058697394141398
365.785,0.1966,0.20112438782856473
365.79,0.1972,0.2016712649302225
365.795,0.1978,0.202204178813875
365.8,0.1984,0.20268163703342143
365.805,0.1989,0.20305863315438064
365.81,0.1995,0.20330484209591215
365.815,0.2,0.20341907006111323
365.82,0.2006,0.203431104416256
365.825,0.2011,0.20338884237400767
365.83,0.2017,0.20333402440001624
365.835,0.2021,0.2032812386684746
365.84,0.2026,0.20321888474636352
365.845,0.2029,0.20313005301051776
365.85,0.2031,0.20301501417585613
365.855,0.2032,0.20290080653522846
365.86,0.2033,0.20283283580603106
365.865,0.2033,0.2028547575291821
365.87,0.2033,0.20299117931262173
365.875,0.2032,0.20324128929946508
365.88,0.2032,0.20358336967231633
365.885,0.2031,0.2039897281334448
365.89,0.203,0.20444517605447424
365.895,0.2029,0.20495636305396128
365.9,0.2029,0.20554593067318366
365.905,0.203,0.20623618422154932
365.91,0.2032,0.20703094694923474
365.915,0.2034,0.2079038881520676
365.92,0.2037,0.20880050111369627
365.925,0.2041,0.20965497071782366
365.93,0.2046,0.21041475297996687
365.935,0.2051,0.2110601715425906
365.94,0.2057,0.2116058549874321
365.945,0.2064,0.21208216914832134
