t,true_position,command
96.85,0.0,0.2069641769477662
96.855,0.0,0.20539903733622844
96.86,0.0,-0.09931166849661945
96.865,0.0,-0.2293335024216967
96.87,0.0,-0.17241281525419405
96.875,0.0,-0.06144635728516104
96.88,0.0,-0.020968487071118924
96.885,0.0487,0.20203833367552881
96.89,0.0518,0.20403970282506487
96.895,0.0019,0.20627036319987463
96.9,-0.0483,0.19146817561869173
96.905,-0.0711,-0.2581100364814343
96.91,-0.0594,-0.4125862995094611
96.915,-0.0264,-0.3078430965857914
96.92,0.0235,0.12531122690361698
96.925,0.0733,0.3153149670642687
96.93,0.121,0.4309383845795459
96.935,0.1128,0.1908839980274591
96.94,0.0627,0.1751866350578427
96.945,0.0126,-0.07408204862690396
96.95,0.0103,-0.3506206743679075
96.955,0.0597,-0.13066507481912215
96.96,0.1096,0.14270834670185528
96.965,0.1473,0.28902062357705155
96.97,0.1623,0.5788034107374435
96.975,0.1426,0.34754222839038906
96.98,0.0924,0.1937477625650613
96.985,0.0423,-0.09716719166570124
96.99,0.0398,-0.09957035650419387
96.995,0.087,-0.23658242978401473
97.0,0.1369,0.19109347538925436
97.005,0.1867,0.3723623649365759
97.01,0.2116,0.34398993009458334
97.015,0.1836,0.21213266276703543
97.02,0.1334,0.15822079158775643
97.025,0.0832,-0.06233133901868239
97.03,0.0801,0.02354972175271415
97.035,0.1287,0.03140181840368998
97.04,0.1785,0.4089331941209093
97.045,0.2061,0.45345233620908926
97.05,0.1995,0.48919624864813765
97.055,0.1666,0.3329000478660588
97.06,0.1167,0.21012791306016762
97.065,0.0813,-0.18234754815924048
97.07,0.0929,-0.25331563497364734
97.075,0.1428,-0.12168347510317425
97.08,0.1926,0.17514271834140416
97.085,0.2428,0.4128743788394298
97.09,0.2539,0.495822651612057
97.095,0.2201,0.4244319348601841
97.1,0.17,0.14911102073054605
97.105,0.1198,-0.22101431816848682
97.11,0.1104,-0.20874806092799764
97.115,0.1494,-0.016059336206764002
97.12,0.1993,0.023807810768797247
97.125,0.2491,0.2648820233422676
97.13,0.2555,0.6848203440738108
97.135,0.207,0.29075652938631696
97.14,0.1563,0.17248735122915904
97.145,0.1066,0.005621248386561514
97.15,0.0672,-0.19811227187125618
97.155,0.0814,-0.02571578827640958
97.16,0.1313,0.11009925861317414
97.165,0.1822,0.249873722021482
97.17,0.2003,0.4844842472900828
97.175,0.1704,0.24205546857396754
97.18,0.1203,0.03225792451781455
97.185,0.0699,-0.11972702719965032
97.19,0.0613,-0.12225126187104433
97.195,0.0961,0.026004374337753766
97.2,0.1459,0.16468283409911938
97.205,0.1878,0.32351791444591504
97.21,0.1751,0.5414531895635782
97.215,0.128,0.31522214550689603
97.22,0.0778,0.19607309749666685
97.225,0.0464,-0.17527805885941217
97.23,0.0645,-0.26964800308767023
97.235,0.1111,-0.19444848394669217
97.24,0.1609,0.24911525689372666
97.245,0.2107,0.3626870454485412
97.25,0.229,0.23968798796853868
97.255,0.198,0.4695455555736224
97.26,0.1479,0.20021551849774455
97.265,0.0977,-0.061697760345830785
97.27,0.095,-0.06882587290381104
97.275,0.1446,-0.0036707353127838974
97.28,0.1852,0.3020689191319598
97.285,0.2218,0.42182737172192064
97.29,0.2405,0.3951613514440207
97.295,0.2077,0.24806008183668338
97.3,0.1576,0.0687669941098945
97.305,0.1073,-0.09805653709833427
97.31,0.105,-0.2903674937379738
97.315,0.1548,0.08847891039268192
97.32,0.2053,0.31220036635309006
97.325,0.2349,0.4123225334815233
97.33,0.2172,0.42813485950061764
97.335,0.1671,0.2124889310914236
97.34,0.1169,0.11550140059575388
97.345,0.0905,-0.16822877343311265
97.35,0.1123,-0.13499516146523222
97.355,0.1621,0.1511183139647504
97.36,0.2119,0.30702179423638615
97.365,0.2325,0.21708634516467018
97.37,0.208,0.44616800480044233
97.375,0.1632,0.3699901507312536
97.38,0.1131,0.13427710027041218
97.385,0.1,-0.12764083111787344
97.39,0.1355,-0.09120044285301972
97.395,0.1721,0.09513223722328018
97.4,0.2063,0.10644609824398067
