t,true_position,command
76.175,0.0,0.05001300241025689
76.18,0.0,0.05009796030072166
76.185,0.0,0.050353766491167115
76.19,0.0,0.05083614270502276
76.195,0.0,0.0514881392891801
76.2,0.0,0.05216001835986475
76.205,0.0,0.05268608235577109
76.21,0.0196,0.05297337502399813
76.215,0.0317,0.05306662332949742
76.22,0.0391,0.0531465316497624
76.225,0.0439,0.053450758169899755
76.23,0.047,0.05416161565313815
76.235,0.0492,0.05532734683110128
76.24,0.0506,0.05686204610715492
76.245,0.0516,0.05862218865551799
76.25,0.0522,0.06051326466748022
76.255,0.0526,0.06255362143960756
76.26,0.0531,0.06484024660612078
76.265,0.0537,0.06745168967314183
76.27,0.0546,0.07037398623091962
76.275,0.0558,0.07347303781879842
76.28,0.0573,0.0765109543419825
76.285,0.059,0.07922767426918181
76.29,0.0609,0.08145321943649633
76.295,0.0631,0.08316900202739655
76.3,0.0654,0.08448699735704311
76.305,0.0681,0.08556943563325226
76.31,0.0709,0.0865378483542816
76.315,0.0737,0.08742633418478636
76.32,0.0764,0.08819328911462491
76.325,0.0787,0.08877271401409534
76.33,0.0808,0.08914752431062846
76.335,0.0825,0.08941107769411313
76.34,0.0839,0.08976538827654365
76.345,0.0851,0.09042983080876127
76.35,0.0862,0.0915115653107916
76.355,0.0871,0.09294827722867462
76.36,0.0878,0.09457021597077997
76.365,0.0884,0.09621569260739701
76.37,0.0889,0.09782678311578263
76.375,0.0894,0.09949616511460926
76.38,0.09,0.10143621211558251
76.385,0.0909,0.10388100182008414
76.39,0.0921,0.10698378915335457
76.395,0.0934,0.11074398043065603
76.4,0.0949,0.11499558637377953
76.405,0.0964,0.11948993251917132
76.41,0.098,0.12402399007020871
76.415,0.0999,0.12853297158364896
76.42,0.1021,0.13309580862872822
76.425,0.1049,0.13785129893118123
76.43,0.1081,0.14289034276339907
76.435,0.1118,0.14817822710169604
76.44,0.1158,0.153528139793285
76.445,0.12,0.15866492167580543
76.45,0.1244,0.16336423091009036
76.455,0.1289,0.16755941752960782
76.46,0.1335,0.17133608523941768
76.465,0.1384,0.1748396920873119
76.47,0.1434,0.17817864460524685
76.475,0.1485,0.18137865336435932
76.48,0.1535,0.18438800352948942
76.485,0.1583,0.18712057449999603
76.49,0.1628,0.18790483015786982
76.495,0.1669,0.18832869656909063
76.5,0.1708,0.18872721605641157
76.505,0.1744,0.18914343252979232
76.51,0.1778,0.18961188098038512
76.515,0.181,0.1901406822942322
76.52,0.1836,0.19070566184708426
76.525,0.1854,0.19126270144491467
76.53,0.1866,0.19177466872374663
76.535,0.1876,0.19223452916164113
76.54,0.1883,0.19266645035648552
76.545,0.1889,0.19310552550319413
76.55,0.1895,0.19357200754389192
76.555,0.1901,0.19405742851025548
76.56,0.1907,0.1945297702768266
76.565,0.1912,0.19495184891527917
76.57,0.1917,0.19530085064230437
76.575,0.1922,0.1955785172079136
76.58,0.1927,0.19580989866813173
76.585,0.1931,0.19603088113526984
76.59,0.1936,0.19626611453473863
76.595,0.1941,0.19651144304990512
76.6,0.1945,0.1967342136727274
76.605,0.1949,0.196889633121829
76.61,0.1952,0.19694281464794403
76.615,0.1955,0.1968844152690787
76.62,0.1958,0.19673119410451004
76.625,0.196,0.19650990681804104
76.63,0.1963,0.19623626177043071
76.635,0.1965,0.1959081379767596
76.64,0.1967,0.19551486660755277
76.645,0.1968,0.19505065968125984
76.65,0.1968,0.19452723358959073
76.655,0.1967,0.19398126273161084
76.66,0.1966,0.19346940862055115
76.665,0.1964,0.19305138443776135
76.67,0.1961,0.19276990782123882
76.675,0.1958,0.19263804131978868
76.68,0.1954,0.19264013046691722
76.685,0.1949,0.1927452675795514
76.69,0.1944,0.1929243267624947
76.695,0.194,0.19316044767587084
76.7,0.1935,0.19344913264892227
76.705,0.1932,0.1937886414899075
76.71,0.193,0.19416492709690708
76.715,0.1929,0.19454095775948266
76.72,0.1929,0.19486278577128902
76.725,0.1929,0.1950821114386308
76.73,0.1931,0.19517596232714224
76.735,0.1933,0.19515085432774046
76.74,0.1936,0.19503771370850465
76.745,0.1939,0.194878575189166
76.75,0.1942,0.19470317890925554
76.755,0.1945,0.19451127354638287
76.76,0.1948,0.194276789733958
76.765,0.1949,0.19396925689110825
76.77,0.195,0.1935747306428848
76.775,0.195,0.19310429574596244
76.78,0.1949,0.19259116643165058
76.785,0.1948,0.19207820086646363
76.79,0.1946,0.1915975013203185
76.795,0.1944,0.19115459601210893
76.8,0.1942,0.1907309565904774
76.805,0.1938,0.1903025155382258
76.81,0.1934,0.18986072087836936
76.815,0.193,0.18942627430397393
76.82,0.1925,0.18904881041593197
76.825,0.1921,0.18879024745904527
76.83,0.1916,0.18870260436450167
76.835,0.1912,0.1888132252884236
76.84,0.1907,0.18911993159390533
76.845,0.1903,0.18959838682372143
76.85,0.1899,0.19022332072817866
76.855,0.1895,0.19098846888380458
76.86,0.1892,0.1919066647654484
76.865,0.189,0.19299121745654105
76.87,0.189,0.19423356952590215
76.875,0.1892,0.19559257119283652
76.88,0.1895,0.19700050961183999
76.885,0.1899,0.19837936952020843
76.89,0.1905,0.19966139620219864
76.895,0.1913,0.20080789171788752
