t,reference,measured,noisy
282.585,0.2,-9.201871236286378e-07,-0.029456378359351637
282.59,0.2,-1.625650421387299e-05,-0.2968256240848233
282.595,0.2,-0.0001009302570978756,-0.14170043496809204
282.6,0.2,-0.00036185676098849637,0.04174655938269991
282.605,0.2,-0.0009136049228532319,0.06408967159787435
282.61,0.2,-0.0018069691599995206,0.4051125142503177
282.615,0.2,-0.002977804364487268,0.1386491966361526
282.62,0.2,-0.004247339397373511,0.16084603684000068
282.625,0.2,-0.005384455805596769,-0.1457897348000999
282.63,0.2,-0.006201230705963017,-0.32575326365001356
282.635,0.2,-0.006637075532337872,-0.28998315232914995
282.64,0.2,-0.006778551658983342,0.05726811286497584
282.645,0.2,-0.006779442026004272,0.3425324918473241
282.65,0.2,-0.006729094312152263,0.3594071843506533
282.655,0.2,-0.006572328755391888,0.24224218430301048
282.66,0.2,-0.006136646830337652,-0.04670470299802244
282.665,0.2,-0.005235793859651386,-0.15488926254649893
282.67,0.2,-0.0037764406672641014,-0.2853566379444889
282.675,0.2,-0.0018107496006797385,-0.1696703625636475
282.68,0.2,0.0004855925896872088,0.05512865067690445
282.685,0.2,0.002900224881516087,0.2933796880315783
282.69,0.2,0.005292184597917419,0.3496646371128362
282.695,0.2,0.007653675736674875,0.16702937387842887
282.7,0.2,0.010077713621003119,-0.2031854119204028
282.705,0.2,0.012647702169606,-0.28930587841217464
282.71,0.2,0.015333621976731665,-0.22507831096035552
282.715,0.2,0.017972563179428764,-0.13901827049732712
282.72,0.2,0.020330620095514153,0.08548293961823096
282.725,0.2,0.02219009949378241,0.007189088354828954
282.73,0.2,0.0234167418454126,0.34410106918669375
282.735,0.2,0.02400088407557246,0.28225091995222457
282.74,0.2,0.024069630462806208,0.15940404617445522
282.745,0.2,0.023845755187860435,0.04915859168461284
282.75,0.2,0.023563243640938134,-0.14713000100213436
282.755,0.2,0.02338183494854219,-0.2943834039472529
282.76,0.2,0.02334064829986642,0.10538124292624962
