t,reference,measured,noisy
272.269999999,0.2,-0.11732434400425396,-0.11732434400425396
272.274999999,0.2,-0.20895769176314605,-0.20895769176314605
272.279999999,0.2,0.07043155226087995,0.07043155226087995
272.285,0.2,0.25387859373715915,0.25387859373715915
272.29,0.2,0.151957637240781,0.151957637240781
272.295,0.2,0.31724454860634943,0.31724454860634943
272.3,0.2,-0.07348283772092919,-0.07348283772092919
272.305,0.2,-0.11008599751645248,-0.11008599751645248
272.31,0.2,-0.3055577004440941,-0.3055577004440941
272.315,0.2,-0.2673852980055894,-0.2673852980055894
272.32,0.2,-0.061651117972518654,-0.061651117972518654
272.325,0.2,0.3336001472218795,0.3336001472218795
272.329999999,0.2,0.4964004574924021,0.4964004574924021
272.334999999,0.2,0.2878392520291516,0.2878392520291516
272.339999999,0.2,-0.0032898029289756218,-0.0032898029289756218
272.345,0.2,-0.3424367373525545,-0.3424367373525545
272.35,0.2,-0.34025722818958126,-0.34025722818958126
272.355,0.2,-0.2606886722991528,-0.2606886722991528
272.36,0.2,0.02946167179336148,0.02946167179336148
272.365,0.2,0.3048606850334304,0.3048606850334304
272.37,0.2,0.43254765367574816,0.43254765367574816
272.375,0.2,0.27869667146858773,0.27869667146858773
272.38,0.2,-0.07860266047812965,-0.07860266047812965
272.385,0.2,-0.49961744627737925,-0.49961744627737925
272.39,0.2,-0.4644738440574321,-0.4644738440574321
272.394999999,0.2,-0.17671037863748607,-0.17671037863748607
272.399999999,0.2,0.0816137167352256,0.0816137167352256
272.404999999,0.2,0.35391494065099555,0.35391494065099555
272.41,0.2,0.150657053998087,0.150657053998087
272.415,0.2,0.2622331035415334,0.2622331035415334
272.42,0.2,0.023518885595288384,0.023518885595288384
272.425,0.2,-0.1512279881821435,-0.1512279881821435
272.43,0.2,-0.1352093739597327,-0.1352093739597327
272.435,0.2,-0.10986203535806155,-0.10986203535806155
272.44,0.2,-0.08535136959076713,-0.08535136959076713
272.445,0.2,0.362313277281116,0.362313277281116
272.45,0.2,0.5385166871287436,0.5385166871287436
272.454999999,0.2,0.39566525443987016,0.39566525443987016
272.459999999,0.2,-0.12067872299377314,-0.12067872299377314
272.464999999,0.2,-0.26155627763338807,-0.26155627763338807
272.47,0.2,-0.40793841377983875,-0.40793841377983875
272.475,0.2,-0.39125027616045505,-0.39125027616045505
272.48,0.2,0.14207622559363936,0.14207622559363936
272.485,0.2,0.2663951098312159,0.2663951098312159
272.49,0.2,0.40087857666514565,0.40087857666514565
272.495,0.2,0.1175812643953208,0.1175812643953208
272.5,0.2,0.11827461185904148,0.11827461185904148
272.505,0.2,-0.4981933678386409,-0.4981933678386409
272.51,0.2,-0.3299798964523033,-0.3299798964523033
272.515,0.2,-0.19614252991425224,-0.19614252991425224
272.519999999,0.2,-0.03714048097857825,-0.03714048097857825
272.524999999,0.2,0.32803237057118717,0.32803237057118717
272.529999999,0.2,0.39645604872367446,0.39645604872367446
272.535,0.2,0.39713582148409354,0.39713582148409354
272.54,0.2,0.15890199134807192,0.15890199134807192
272.545,0.2,-0.22708181254589832,-0.22708181254589832
272.55,0.2,-0.3548555109479306,-0.3548555109479306
272.555,0.2,-0.2527368771901337,-0.2527368771901337
272.56,0.2,0.04878857423106117,0.04878857423106117
272.565,0.2,0.21303675984108655,0.21303675984108655
272.57,0.2,0.21566452986310114,0.21566452986310114
272.575,0.2,0.3460587350084605,0.3460587350084605
272.579999999,0.2,0.03847843026302299,0.03847843026302299
272.584999999,0.2,-0.20563849264611261,-0.20563849264611261
272.589999999,0.2,-0.1723734173183306,-0.1723734173183306
272.595,0.2,-0.1678780813046849,-0.1678780813046849
272.6,0.2,0.07155109009683211,0.07155109009683211
272.605,0.2,0.7762330498572655,0.7762330498572655
272.61,0.2,0.516444152463569,0.516444152463569
272.615,0.2,0.3267194000432292,0.3267194000432292
272.62,0.2,-0.11876422684171199,-0.11876422684171199
272.625,0.2,-0.1814355462179917,-0.1814355462179917
272.63,0.2,-0.10391203209503483,-0.10391203209503483
272.635,0.2,-0.053704116055403775,-0.053704116055403775
272.64,0.2,0.23583654794143516,0.23583654794143516
272.644999999,0.2,0.37951659079125655,0.37951659079125655
272.649999999,0.2,0.5224663500992823,0.5224663500992823
272.654999999,0.2,0.24539902900298485,0.24539902900298485
272.66,0.2,0.30139212089776624,0.30139212089776624
272.665,0.2,-0.2308312903113478,-0.2308312903113478
272.67,0.2,-0.251665834889358,-0.251665834889358
272.675,0.2,-0.09413440021252083,-0.09413440021252083
272.68,0.2,-0.02162230424809697,-0.02162230424809697
272.685,0.2,0.42564584693891205,0.42564584693891205
272.69,0.2,0.508663947739862,0.508663947739862
272.695,0.2,0.31617006292190314,0.31617006292190314
272.7,0.2,0.2220903102400777,0.2220903102400777
272.704999999,0.2,-0.027598856456840667,-0.027598856456840667
272.709999999,0.2,-0.2839934908465871,-0.2839934908465871
272.714999999,0.2,-0.1506531041210539,-0.1506531041210539
272.72,0.2,0.16116912002517414,0.16116912002517414
272.725,0.2,0.35717134242281967,0.35717134242281967
272.73,0.2,0.4943747050813404,0.4943747050813404
272.735,0.2,0.38498568741989486,0.38498568741989486
272.74,0.2,0.027007420223397346,0.027007420223397346
272.745,0.2,-0.23553121920886919,-0.23553121920886919
272.75,0.2,-0.2129895423211092,-0.2129895423211092
272.755,0.2,-0.13286600484175337,-0.13286600484175337
272.76,0.2,0.001656495015207704,0.001656495015207704
272.765,0.2,0.431658099489139,0.431658099489139
272.769999999,0.2,0.547471592576502,0.547471592576502
272.774999999,0.2,0.2683158220772166,0.2683158220772166
272.779999999,0.2,0.1273809681018595,0.1273809681018595
272.785,0.2,-0.06824321976329994,-0.06824321976329994
272.79,0.2,-0.12813037276737918,-0.12813037276737918
272.795,0.2,-0.2636408235356144,-0.2636408235356144
272.8,0.2,0.04610467494009923,0.04610467494009923
272.805,0.2,0.6011909458886422,0.6011909458886422
272.81,0.2,0.3791513892890824,0.3791513892890824
272.815,0.2,0.376247041035673,0.376247041035673
272.82,0.2,0.24532015586850903,0.24532015586850903
272.825,0.2,-0.04656536640283396,-0.04656536640283396
272.829999999,0.2,-0.09524836359604275,-0.09524836359604275
272.834999999,0.2,-0.2850713483287344,-0.2850713483287344
272.839999999,0.2,0.08229443211369972,0.08229443211369972
272.845,0.2,0.4418561754577488,0.4418561754577488
272.85,0.2,0.38817894948208354,0.38817894948208354
272.855,0.2,0.3083057270961428,0.3083057270961428
272.86,0.2,0.1984299571674995,0.1984299571674995
272.865,0.2,-0.18030119393239072,-0.18030119393239072
272.87,0.2,-0.3427482542269775,-0.3427482542269775
272.875,0.2,-0.06786549161995842,-0.06786549161995842
272.88,0.2,0.13097724669633046,0.13097724669633046
272.885,0.2,0.4899967811213276,0.4899967811213276
272.89,0.2,0.5084607356597994,0.5084607356597994
272.894999999,0.2,0.4417474431634164,0.4417474431634164
272.899999999,0.2,0.15530920014714356,0.15530920014714356
272.904999999,0.2,-0.3228023820352189,-0.3228023820352189
272.91,0.2,-0.23213480389749608,-0.23213480389749608
272.915,0.2,-0.04686373193143475,-0.04686373193143475
272.92,0.2,0.19101963106768405,0.19101963106768405
272.925,0.2,0.454286142660486,0.454286142660486
272.93,0.2,0.6550813948315874,0.6550813948315874
272.935,0.2,0.4869035173125661,0.4869035173125661
272.94,0.2,0.09482730316704602,0.09482730316704602
272.945,0.2,0.08157857800168876,0.08157857800168876
272.95,0.2,-0.35103793166762853,-0.35103793166762853
272.954999999,0.2,0.019997766734184436,0.019997766734184436
272.959999999,0.2,-0.015225267901523676,-0.015225267901523676
272.964999999,0.2,0.4710326046449214,0.4710326046449214
272.97,0.2,0.6942219458282659,0.6942219458282659
272.975,0.2,0.3861323039507228,0.3861323039507228
272.98,0.2,0.16022582299256963,0.16022582299256963
272.985,0.2,-0.07910664011117563,-0.07910664011117563
272.99,0.2,-0.29494897881245735,-0.29494897881245735
272.995,0.2,-0.18650064457934512,-0.18650064457934512
273.0,0.2,0.15945984325562249,0.15945984325562249
273.005,0.2,0.1912642350500304,0.1912642350500304
273.01,0.2,0.4171032254919641,0.4171032254919641
273.015,0.2,0.6241237337539451,0.6241237337539451
273.019999999,0.2,0.10308070757698379,0.10308070757698379
273.024999999,0.2,-0.2070699517000065,-0.2070699517000065
273.029999999,0.2,-0.21868264717938077,-0.21868264717938077
273.035,0.2,-0.043427801796408906,-0.043427801796408906
273.04,0.2,-0.030950793366436358,-0.030950793366436358
273.045,0.2,0.38370529325032054,0.38370529325032054
273.05,0.2,0.48167249315662847,0.48167249315662847
273.055,0.2,0.4246887572507427,0.4246887572507427
273.06,0.2,0.252036018339251,0.252036018339251
273.065,0.2,-0.0016254228895260237,-0.0016254228895260237
273.07,0.2,-0.4514838548767789,-0.4514838548767789
273.075,0.2,-0.06768213821798981,-0.06768213821798981
273.079999999,0.2,0.05640617916372881,0.05640617916372881
273.084999999,0.2,0.31519085428370897,0.31519085428370897
273.089999999,0.2,0.548551781017027,0.548551781017027
273.095,0.2,0.301548076166918,0.301548076166918
273.1,0.2,0.1858326721469816,0.1858326721469816
273.105,0.2,-0.16799076564729995,-0.16799076564729995
273.11,0.2,-0.5049222081437097,-0.5049222081437097
273.115,0.2,-0.2098185991488079,-0.2098185991488079
273.12,0.2,0.10718160606793259,0.10718160606793259
273.125,0.2,0.39118142815316287,0.39118142815316287
273.13,0.2,0.49325191982836747,0.49325191982836747
273.135,0.2,0.4273809486988752,0.4273809486988752
273.14,0.2,0.2013718681851987,0.2013718681851987
273.144999999,0.2,-0.16484948876993905,-0.16484948876993905
273.149999999,0.2,-0.26501215699447117,-0.26501215699447117
273.154999999,0.2,-0.15113898858956626,-0.15113898858956626
273.16,0.2,0.2362969840951658,0.2362969840951658
273.165,0.2,0.3610866307584361,0.3610866307584361
273.17,0.2,0.5835865364909237,0.5835865364909237
273.175,0.2,0.38633286032478104,0.38633286032478104
273.18,0.2,0.09174531315851418,0.09174531315851418
273.185,0.2,-0.01585002825935719,-0.01585002825935719
273.19,0.2,-0.18572600216140284,-0.18572600216140284
273.195,0.2,-0.1676839242675811,-0.1676839242675811
273.2,0.2,0.0021732402843167298,0.0021732402843167298
273.204999999,0.2,0.5316258319285492,0.5316258319285492
273.209999999,0.2,0.6094920829654882,0.6094920829654882
273.214999999,0.2,0.5719528438498377,0.5719528438498377
273.22,0.2,0.3101308548432218,0.3101308548432218
273.225,0.2,-0.17684961289703924,-0.17684961289703924
273.23,0.2,-0.1853629482718186,-0.1853629482718186
273.235,0.2,-0.1354386866581989,-0.1354386866581989
273.24,0.2,0.21185381948128357,0.21185381948128357
273.245,0.2,0.6696688023569272,0.6696688023569272
273.25,0.2,0.562036977070237,0.562036977070237
273.255,0.2,0.44803461072166095,0.44803461072166095
273.26,0.2,0.24471495696602907,0.24471495696602907
273.265,0.2,-0.10332058375410272,-0.10332058375410272
273.269999999,0.2,-0.13537683949290968,-0.13537683949290968
273.274999999,0.2,-0.0677397126503658,-0.0677397126503658
273.279999999,0.2,0.22156572179311243,0.22156572179311243
273.285,0.2,0.3689500381787567,0.3689500381787567
273.29,0.2,0.5494982436120099,0.5494982436120099
273.295,0.2,0.22072432066313302,0.22072432066313302
273.3,0.2,0.15502226790891627,0.15502226790891627
273.305,0.2,-0.03071632557761867,-0.03071632557761867
273.31,0.2,-0.28813976840851413,-0.28813976840851413
273.315,0.2,-0.1186174548347582,-0.1186174548347582
273.32,0.2,0.1094154422351967,0.1094154422351967
273.325,0.2,0.32838117593651595,0.32838117593651595
273.329999999,0.2,0.48888512690456776,0.48888512690456776
273.334999999,0.2,0.4392789944576363,0.4392789944576363
273.339999999,0.2,0.2821262549677635,0.2821262549677635
273.345,0.2,-0.09943766632688783,-0.09943766632688783
273.35,0.2,-0.17103358157851664,-0.17103358157851664
273.355,0.2,-0.0892779940028917,-0.0892779940028917
