t,true_position,command
251.64,0.0,0.04999997867383812
251.645,0.0,0.05000233931107282
251.65,0.0,0.05002491618536565
251.655,0.0,0.05012465808349978
251.66,0.0,0.050407280360019006
251.665,0.0,0.05099271847329917
251.67,0.0,0.05194286246891956
251.675,0.0196,0.0532075226247158
251.68,0.0316,0.054643137932564416
251.685,0.0389,0.05609361019012329
251.69,0.0434,0.05747246851139583
251.695,0.0463,0.05879932864890619
251.7,0.0483,0.060181292668541025
251.705,0.05,0.06175151882596308
251.71,0.0516,0.06358460985670444
251.715,0.0531,0.0656279581919831
251.72,0.0545,0.06770549254757391
251.725,0.0559,0.06960118158688686
251.73,0.0573,0.07117073141550992
251.735,0.0587,0.07242997544327122
251.74,0.0602,0.07356060393517658
251.745,0.062,0.07480785861129385
251.75,0.0639,0.07634693832650535
251.755,0.0658,0.07820726081036598
251.76,0.0677,0.08027858658021886
251.765,0.0694,0.08239084789514485
251.77,0.0709,0.08442518183925807
251.775,0.0722,0.08638444085627292
251.78,0.0736,0.08838527358900611
251.785,0.0751,0.09057676062556855
251.79,0.0768,0.093026458073731
251.795,0.0786,0.09565379939228402
251.8,0.0806,0.09825320207549001
251.805,0.0825,0.10057644557906098
251.81,0.0845,0.10243408529202208
251.815,0.0865,0.10377775525978149
251.82,0.0886,0.10471097633926574
251.825,0.0909,0.105415632413427
251.83,0.0934,0.10604917801665636
251.835,0.0958,0.10667197288393582
251.84,0.0981,0.10723745388988004
251.845,0.1001,0.10766761099335798
251.85,0.1018,0.10797634699100016
251.855,0.1031,0.10832464175518713
251.86,0.1041,0.10895942964916794
251.865,0.105,0.11011380384697034
251.87,0.1058,0.11192107783325342
251.875,0.1064,0.11435954114502764
251.88,0.107,0.11727584442466546
251.885,0.1074,0.12048252844002172
251.89,0.1079,0.12386366706859227
251.895,0.1086,0.12742793985290496
251.9,0.1096,0.1312707827619754
251.905,0.111,0.1354660568508212
251.91,0.1129,0.13996970657533694
251.915,0.1153,0.14460245007865105
251.92,0.1181,0.14911010705168476
251.925,0.1211,0.1532592972765077
251.93,0.1245,0.1569189804587524
251.935,0.1281,0.16009130729404125
251.94,0.1319,0.16288815965180617
251.945,0.1361,0.1654688424362536
251.95,0.1404,0.16796017634090557
251.955,0.1448,0.17039088055553175
251.96,0.1489,0.17267138889098618
251.965,0.1528,0.17464034431619258
251.97,0.1563,0.17616825701360023
251.975,0.1595,0.17725359359653203
251.98,0.1624,0.17803774122590849
251.985,0.1652,0.17873262193825284
251.99,0.1677,0.17952357708708944
251.995,0.1701,0.1805039515583271
252.0,0.1723,0.1816612022045751
252.005,0.1741,0.18292496345490128
252.01,0.1755,0.18425329631160897
252.015,0.1766,0.1856921690437423
252.02,0.1776,0.1873709186041298
252.025,0.1786,0.18789052385997926
252.03,0.1796,0.18841510108286208
252.035,0.1807,0.18906068308153498
252.04,0.1818,0.18981914993845056
252.045,0.1831,0.19066539166850713
252.05,0.1845,0.19157218109132282
252.055,0.1857,0.19252452749506158
252.06,0.1867,0.19352167570355155
252.065,0.1875,0.19456479972208232
252.07,0.1883,0.19563984723247096
252.075,0.1891,0.1967080671074417
252.08,0.1899,0.19770997747785013
252.085,0.1908,0.19858372359644763
252.09,0.1917,0.19928864071503702
252.095,0.1926,0.19981776969469137
252.1,0.1936,0.2001941827785941
252.105,0.1946,0.20045562521210988
252.11,0.1957,0.20063338515950385
252.115,0.1967,0.2007345876235792
252.12,0.1976,0.20074017038492414
252.125,0.1984,0.20062452200609832
252.13,0.199,0.20038252477858637
252.135,0.1995,0.20004094971431807
252.14,0.1999,0.19964861626421096
252.145,0.2002,0.19925632668326818
252.15,0.2004,0.19889929313499075
252.155,0.2005,0.19858704806796706
252.16,0.2005,0.19830268510329166
252.165,0.2004,0.19801779580545653
252.17,0.2002,0.19771970440783157
252.175,0.1999,0.19742937542664757
252.18,0.1996,0.1971927455494761
252.185,0.1992,0.19705407508056183
252.19,0.1989,0.19703262645141814
252.195,0.1986,0.19711284214315328
252.2,0.1983,0.19724952014287098
252.205,0.198,0.19738837276425306
252.21,0.1977,0.19749267526989003
252.215,0.1975,0.19755925208617484
252.22,0.1973,0.1976161546541697
252.225,0.1972,0.1977059091562483
252.23,0.1972,0.197861775659408
252.235,0.1973,0.1980882761990313
252.24,0.1973,0.19835828986935664
252.245,0.1974,0.1986290000919895
252.25,0.1975,0.19886692132140993
252.255,0.1976,0.19906688708478973
252.26,0.1976,0.19925399086106188
252.265,0.1978,0.19946806962535868
252.27,0.198,0.19973998063195014
252.275,0.1982,0.20007408517239558
252.28,0.1984,0.20044672016042486
252.285,0.1986,0.2008184191468868
252.29,0.1988,0.20115179058058233
252.295,0.199,0.20142917397339294
252.3,0.1993,0.20166213439762826
252.305,0.1995,0.20188167776361557
252.31,0.1998,0.20211039632244848
252.315,0.2001,0.20233860792301933
252.32,0.2005,0.2025248669965929
252.325,0.2008,0.20261679693828516
252.33,0.2011,0.20257558150312188
252.335,0.2014,0.20239161514583653
252.34,0.2016,0.20208516233146703
252.345,0.2019,0.2016909936464878
252.35,0.2021,0.20123447096910713
252.355,0.2023,0.20071855244469813
252.36,0.2024,0.2001317694499886
252.365,0.2024,0.1994643846953148
252.37,0.2024,0.1987212954918291
252.375,0.2022,0.1979303115991674
252.38,0.2019,0.19714258037128043
252.385,0.2015,0.1964211060696098
252.39,0.2011,0.19582061657056804
252.395,0.2006,0.19537104114129628
252.4,0.2,0.19507425094549763
252.405,0.1993,0.19491282884867434
252.41,0.1986,0.19486668088088793
252.415,0.1979,0.19493081037719145
